Date,Price,Open,High,Low,Vol.,Change %
"Apr 13, 2022",320,320,320,320,-,0.00%
"Apr 12, 2022",320,303,320,303,0.16K,6.67%
"Apr 11, 2022",300,300,303,300,0.12K,1.69%
"Apr 08, 2022",295,290,295,290,0.07K,5.09%
"Apr 07, 2022",280.7,290,290,290,0.27K,-3.42%
"Apr 06, 2022",290.65,300,303,295,0.41K,0.19%
"Apr 05, 2022",290.1,274.8,295,274,0.20K,10.73%
"Apr 04, 2022",262,255,257,255,0.06K,-1.28%
"Apr 01, 2022",265.4,272,272,272,0.02K,-2.78%
"Mar 31, 2022",273,267,273,267,0.09K,0.50%
"Mar 30, 2022",271.65,270,280,270,0.17K,1.25%
"Mar 29, 2022",268.3,275,279,265,0.18K,-0.78%
"Mar 28, 2022",270.4,270,275,270,0.12K,-16.76%
"Mar 25, 2022",324.85,324,324,324,0.01K,-0.06%
"Mar 24, 2022",325.05,326,326,324.75,0.10K,-0.55%
"Mar 23, 2022",326.85,326,326.5,324.5,0.04K,1.19%
"Mar 22, 2022",323,320,324,318,0.03K,1.51%
"Mar 21, 2022",318.2,313,320,310,0.05K,-1.79%
"Mar 18, 2022",324,324,324,324,0.01K,2.53%
"Mar 17, 2022",316,330,335,315,0.07K,1.28%
"Mar 16, 2022",312,325,325,310,0.02K,-7.21%
"Mar 15, 2022",336.25,362,362,350,0.05K,-5.90%
"Mar 14, 2022",357.35,362,362,362,0.06K,-1.81%
"Mar 11, 2022",363.95,375,375,360,0.15K,-0.97%
"Mar 10, 2022",367.5,390,390,365,0.12K,-12.08%
"Mar 09, 2022",418,425,435,395,0.06K,-4.78%
"Mar 08, 2022",439,425,425,425,0.12K,3.25%
"Mar 07, 2022",459,465,465,450,0.04K,6.13%
"Mar 04, 2022",432.5,400,440,400,0.26K,22.26%
"Mar 03, 2022",353.75,410,410,380,0.17K,-18.96%
"Mar 02, 2022",436.5,350,435,350,0.37K,38.57%
"Mar 01, 2022",315,260,330,260,0.23K,23.89%
"Feb 28, 2022",254.25,235,261,230,0.43K,31.74%
"Feb 25, 2022",193,193,193,193,0.01K,-0.05%
"Feb 24, 2022",193.1,190,191,190,0.01K,1.29%
"Feb 23, 2022",190.65,190,191,190,0.00K,0.87%
"Feb 22, 2022",189,187,189,186.9,0.11K,2.08%
"Feb 21, 2022",185.15,185,186,185,0.04K,0.57%
"Feb 18, 2022",184.1,184.1,184.1,184.1,0.01K,0.57%
"Feb 17, 2022",183.05,183.5,183.5,183.5,0.06K,-0.33%
"Feb 16, 2022",183.65,185,185,183,0.02K,-1.61%
"Feb 15, 2022",186.65,187,187,186,0.03K,-1.94%
"Feb 14, 2022",190.35,194,194,194,0.04K,0.45%
"Feb 11, 2022",189.5,189,189,189,0.00K,0.72%
"Feb 10, 2022",188.15,189,189,189,0.01K,0.21%
"Feb 09, 2022",187.75,189,189,188,0.10K,0.89%
"Feb 08, 2022",186.1,186,187,185.5,0.03K,1.97%
"Feb 07, 2022",182.5,182,183.5,178,0.18K,-0.27%
"Feb 04, 2022",183,179.5,183,179.5,0.17K,3.13%
"Feb 03, 2022",177.45,180,180,177.5,0.02K,0.08%
"Feb 02, 2022",177.3,178,178,175.5,0.15K,1.60%
"Feb 01, 2022",174.5,174,174,170,0.27K,-2.10%
"Jan 31, 2022",178.25,178,178,173,0.17K,7.06%
"Jan 28, 2022",166.5,166,166.5,166,0.02K,0.33%
"Jan 27, 2022",165.95,165.95,165.95,165.95,0.01K,0.00%
"Jan 26, 2022",165.95,165.75,165.75,165.75,0.09K,0.82%
"Jan 25, 2022",164.6,165.5,165.5,164.5,0.06K,0.83%
"Jan 24, 2022",163.25,165,165.4,164.5,0.10K,0.74%
"Jan 21, 2022",162.05,160,165,160,0.08K,1.60%
"Jan 20, 2022",159.5,161,161,159,0.05K,-1.39%
"Jan 19, 2022",161.75,161.25,161.25,161.25,0.13K,-0.34%
"Jan 18, 2022",162.3,162.5,165,162,0.14K,4.04%
"Jan 17, 2022",156,155,158,155,0.08K,1.30%
"Jan 14, 2022",154,152,159,152,0.30K,3.43%
"Jan 13, 2022",148.9,143,148.9,143,0.34K,7.12%
"Jan 12, 2022",139,138,138,138,0.37K,2.21%
"Jan 11, 2022",136,140.05,140.05,136,0.04K,-1.84%
"Jan 10, 2022",138.55,142.95,143,142.95,0.06K,-1.18%
"Jan 07, 2022",140.2,147,147,139,0.16K,-2.30%
"Jan 06, 2022",143.5,142.5,142.5,142.5,0.06K,4.52%
"Jan 05, 2022",137.3,134.65,136,134.5,0.23K,5.53%
"Jan 04, 2022",130.1,128,130,126,0.26K,8.42%
"Jan 03, 2022",120,120,120,120,0.00K,-12.76%
"Dec 31, 2021",137.55,137.55,137.55,137.55,-,-0.33%
"Dec 30, 2021",138,140,140,140,0.01K,-0.25%
"Dec 29, 2021",138.35,138.5,140,138.5,0.01K,2.03%
"Dec 28, 2021",135.6,135.6,135.6,135.6,-,-3.62%
"Dec 27, 2021",140.7,140.7,140.7,140.7,-,-0.92%
"Dec 24, 2021",142,142,142,142,-,-0.53%
"Dec 23, 2021",142.75,144,144,142,0.00K,-2.86%
"Dec 22, 2021",146.95,148,148,147,0.00K,-0.03%
"Dec 21, 2021",147,147,147,147,0.02K,0.68%
"Dec 20, 2021",146,149.5,149.5,149,0.07K,0.00%
"Dec 17, 2021",146,148,148,148,0.02K,-1.28%
"Dec 16, 2021",147.9,144,146.5,144,0.06K,4.38%
"Dec 15, 2021",141.7,140.5,141.5,140.5,0.04K,0.82%
"Dec 14, 2021",140.55,140,140.25,140,0.08K,2.97%
"Dec 13, 2021",136.5,136.5,137.5,136.5,0.03K,1.19%
"Dec 10, 2021",134.9,134.5,134.5,134.5,0.04K,0.00%
"Dec 09, 2021",134.9,134.9,134.9,134.9,0.07K,0.26%
"Dec 08, 2021",134.55,132.5,133.5,132.5,0.33K,4.22%
"Dec 07, 2021",129.1,129.1,129.1,129.1,0.12K,5.65%
"Dec 06, 2021",122.2,120.75,122.5,120.75,0.11K,0.58%
"Dec 03, 2021",121.5,124.5,124.5,121,0.03K,-2.21%
"Dec 02, 2021",124.25,120,125,120,0.09K,0.93%
"Dec 01, 2021",123.1,112,123,112,0.19K,10.80%
"Nov 30, 2021",111.1,118,118,110,0.14K,-12.52%
"Nov 29, 2021",127,131.5,131.5,123,0.11K,-14.19%
"Nov 26, 2021",148,148,148,148,0.01K,0.00%
"Nov 25, 2021",148,150,150,150,0.01K,-1.07%
"Nov 24, 2021",149.6,151,151,149,0.03K,-0.27%
"Nov 23, 2021",150,147.5,150,147.5,0.10K,2.39%
"Nov 22, 2021",146.5,145,146.5,144,0.17K,0.86%
"Nov 19, 2021",145.25,144,144,144,0.00K,0.35%
"Nov 18, 2021",144.75,141,144,141,0.10K,1.26%
"Nov 17, 2021",142.95,144,144,144,0.05K,1.02%
"Nov 16, 2021",141.5,140,141.5,140,0.06K,2.06%
"Nov 15, 2021",138.65,138.65,138.65,138.65,-,-0.25%
"Nov 12, 2021",139,140.5,140.5,140,0.08K,-2.11%
"Nov 11, 2021",142,142,142,142,0.06K,-0.07%
"Nov 10, 2021",142.1,143,143,141,0.05K,-6.51%
"Nov 09, 2021",152,156,156,155,0.11K,-3.49%
"Nov 08, 2021",157.5,152.5,159,152,0.09K,6.24%
"Nov 05, 2021",148.25,145.5,145.5,145.5,0.00K,0.17%
"Nov 04, 2021",148,148,150,147,0.16K,-1.00%
"Nov 03, 2021",149.5,147,152,147,0.16K,6.98%
"Nov 02, 2021",139.75,138.25,140.25,137,0.23K,2.76%
"Nov 01, 2021",136,140,140,139,0.10K,-41.54%
"Oct 29, 2021",232.65,232.65,232.65,232.65,-,-0.15%
"Oct 28, 2021",233,233,233,233,-,0.06%
"Oct 27, 2021",232.85,232.85,232.85,232.85,0.01K,-0.49%
"Oct 26, 2021",234,236,236,234,0.01K,-1.33%
"Oct 25, 2021",237.15,235,235,235,0.01K,2.55%
"Oct 22, 2021",231.25,231.25,231.25,231.25,0.01K,1.20%
"Oct 21, 2021",228.5,228.5,228.5,228.5,-,-1.76%
"Oct 20, 2021",232.6,233,233,233,0.01K,-0.81%
"Oct 19, 2021",234.5,235,235,233,0.05K,-1.74%
"Oct 18, 2021",238.65,240,240,235,0.14K,-0.58%
"Oct 15, 2021",240.05,242.5,242.5,240,0.07K,-1.48%
"Oct 14, 2021",243.65,242,243,242,0.03K,-0.53%
"Oct 13, 2021",244.95,247,247,246,0.10K,0.74%
"Oct 12, 2021",243.15,245,245,243,0.08K,0.68%
"Oct 11, 2021",241.5,242,242,240,0.14K,5.00%
"Oct 08, 2021",230,240,240,230,0.04K,-1.14%
"Oct 07, 2021",232.65,220,235,220,0.18K,-1.88%
"Oct 06, 2021",237.1,280,280,230,0.28K,-13.62%
"Oct 05, 2021",274.5,261,267,261,0.14K,10.80%
"Oct 04, 2021",247.75,246,246,246,0.20K,6.31%
"Oct 01, 2021",233.05,222,234,222,0.20K,6.59%
"Sep 30, 2021",218.65,212,219,212,0.28K,4.87%
"Sep 29, 2021",208.5,207,210,206.5,0.42K,3.06%
"Sep 28, 2021",202.3,206.05,210,201,0.41K,0.27%
"Sep 27, 2021",201.75,200,202,200,0.43K,16.96%
"Sep 24, 2021",172.5,172.5,172.5,172.5,0.01K,-0.20%
"Sep 23, 2021",172.85,172.85,172.85,172.85,0.06K,0.49%
"Sep 22, 2021",172,172,172,172,0.01K,0.35%
"Sep 21, 2021",171.4,171.25,171.25,171.25,0.01K,0.20%
"Sep 20, 2021",171.05,171.05,171.05,171.05,-,1.45%
"Sep 17, 2021",168.6,168.5,168.5,168.5,0.03K,1.02%
"Sep 16, 2021",166.9,167.5,167.5,167.5,0.03K,-1.53%
"Sep 15, 2021",169.5,172.5,172.5,170.25,0.08K,-0.88%
"Sep 14, 2021",171,171.5,171.5,171.5,0.02K,-0.41%
"Sep 13, 2021",171.7,173.4,173.4,172,0.06K,0.50%
"Sep 10, 2021",170.85,170.85,170.85,170.85,0.03K,0.68%
"Sep 09, 2021",169.7,169.7,169.7,169.7,0.03K,0.41%
"Sep 08, 2021",169,168.15,169,168.15,0.05K,0.48%
"Sep 07, 2021",168.2,167.75,168.85,167.5,0.14K,0.12%
"Sep 06, 2021",168,169,169,168.2,0.04K,1.73%
"Sep 03, 2021",165.15,164,165.5,164,0.04K,1.82%
"Sep 02, 2021",162.2,158,163.25,158,0.24K,3.81%
"Sep 01, 2021",156.25,160,160,157,0.06K,1.63%
"Aug 31, 2021",153.75,150,154,150,0.23K,3.15%
"Aug 30, 2021",149.05,149.05,149.05,149.05,-,0.07%
"Aug 27, 2021",148.95,148.95,148.95,148.95,-,-0.03%
"Aug 26, 2021",149,149,149,149,-,0.07%
"Aug 25, 2021",148.9,148.5,149,148.5,0.01K,0.27%
"Aug 24, 2021",148.5,148.5,149,148.35,0.03K,0.10%
"Aug 23, 2021",148.35,148.3,148.75,148.3,0.03K,2.66%
"Aug 20, 2021",144.5,144.5,144.5,144.5,-,-0.96%
"Aug 19, 2021",145.9,145.9,145.9,145.9,-,-2.70%
"Aug 18, 2021",149.95,150,150,150,0.01K,0.03%
"Aug 17, 2021",149.9,151.1,151.1,151.1,0.13K,-1.28%
"Aug 16, 2021",151.85,152.15,152.15,152.15,0.04K,1.44%
"Aug 13, 2021",149.7,149.65,149.65,149.65,0.01K,-0.20%
"Aug 12, 2021",150,150,150,150,0.03K,1.63%
"Aug 11, 2021",147.6,147.6,147.6,147.6,0.01K,1.10%
"Aug 10, 2021",146,145.5,146.25,145.5,0.06K,0.17%
"Aug 09, 2021",145.75,146,146,146,0.08K,1.29%
"Aug 06, 2021",143.9,143.9,143.9,143.9,0.02K,1.23%
"Aug 05, 2021",142.15,141.75,142,141.75,0.00K,0.74%
"Aug 04, 2021",141.1,140.75,141,140.75,0.14K,0.75%
"Aug 03, 2021",140.05,141,141,140,0.24K,0.25%
"Aug 02, 2021",139.7,139.7,139.7,139.7,0.01K,5.12%
"Jul 30, 2021",132.9,132.9,132.9,132.9,-,0.00%
"Jul 29, 2021",132.9,132.9,132.9,132.9,-,0.00%
"Jul 28, 2021",132.9,132.9,132.9,132.9,-,0.23%
"Jul 27, 2021",132.6,132.6,132.6,132.6,-,0.38%
"Jul 26, 2021",132.1,132.1,132.1,132.1,-,-0.15%
"Jul 23, 2021",132.3,132.3,132.3,132.3,-,0.30%
"Jul 22, 2021",131.9,131.9,131.9,131.9,0.01K,-0.53%
"Jul 21, 2021",132.6,132.6,132.6,132.6,-,0.38%
"Jul 20, 2021",132.1,132.1,132.1,132.1,-,-0.75%
"Jul 19, 2021",133.1,133.5,133.5,133.35,0.03K,0.38%
"Jul 16, 2021",132.6,133,133,132.5,0.16K,0.45%
"Jul 15, 2021",132,132,132,132,-,0.19%
"Jul 14, 2021",131.75,131.75,131.75,131.75,-,0.50%
"Jul 13, 2021",131.1,128,128,128,0.01K,3.51%
"Jul 12, 2021",126.65,126.65,126.65,126.65,0.07K,-0.12%
"Jul 09, 2021",126.8,126.8,126.8,126.8,0.02K,1.04%
"Jul 08, 2021",125.5,125,125.75,124.9,0.10K,0.68%
"Jul 07, 2021",124.65,124.25,124.25,124.25,0.07K,0.69%
"Jul 06, 2021",123.8,123.8,123.8,123.8,0.06K,-2.71%
"Jul 05, 2021",127.25,127.25,127.25,127.25,0.07K,2.95%
"Jul 02, 2021",123.6,122,122.75,122,0.06K,1.10%
"Jul 01, 2021",122.25,124,124,123.75,0.15K,1.24%
"Jun 30, 2021",120.75,115,121,115,0.39K,4.95%
"Jun 29, 2021",115.05,113,115.65,112.9,0.29K,1.68%
"Jun 28, 2021",113.15,113.25,113.25,113.25,0.23K,4.29%
"Jun 25, 2021",108.5,108.5,108.5,108.5,0.01K,0.23%
"Jun 24, 2021",108.25,108.25,108.25,108.25,0.02K,0.23%
"Jun 23, 2021",108,108,108,108,0.01K,0.70%
"Jun 22, 2021",107.25,107.25,107.25,107.25,-,0.23%
"Jun 21, 2021",107,107,107,107,-,-0.70%
"Jun 18, 2021",107.75,107.75,107.75,107.75,-,-0.05%
"Jun 17, 2021",107.8,107.8,107.8,107.8,-,-0.19%
"Jun 16, 2021",108,108,108,108,0.09K,0.00%
"Jun 15, 2021",108,108.5,108.5,108.5,0.01K,-0.92%
"Jun 14, 2021",109,109,109,109,0.01K,-0.91%
"Jun 11, 2021",110,110,110,110,0.01K,0.00%
"Jun 10, 2021",110,109,109,109,0.17K,1.62%
"Jun 09, 2021",108.25,106.25,108,106.25,0.01K,2.36%
"Jun 08, 2021",105.75,105.75,105.75,105.75,0.02K,-0.24%
"Jun 07, 2021",106,104.5,106.1,104.5,0.09K,4.69%
"Jun 04, 2021",101.25,100.65,101.5,100.65,0.11K,0.75%
"Jun 03, 2021",100.5,97.75,101,97.75,0.11K,4.25%
"Jun 02, 2021",96.4,95.5,96.5,95.5,0.11K,0.63%
"Jun 01, 2021",95.8,96,96.5,95.85,0.12K,2.79%
"May 31, 2021",93.2,93.2,93.2,93.2,-,8.69%
"May 28, 2021",85.75,85.75,85.75,85.75,-,0.00%
"May 27, 2021",85.75,85.75,85.75,85.75,-,0.12%
"May 26, 2021",85.65,85.65,85.65,85.65,-,-0.12%
"May 25, 2021",85.75,85.75,85.75,85.75,-,0.29%
"May 24, 2021",85.5,85.5,85.5,85.5,-,0.35%
"May 21, 2021",85.2,85.2,85.2,85.2,-,0.53%
"May 20, 2021",84.75,84.5,84.5,84.5,0.07K,0.89%
"May 19, 2021",84,84,84,84,0.03K,-0.71%
"May 18, 2021",84.6,84.5,84.5,84.5,0.05K,0.12%
"May 17, 2021",84.5,84.5,84.5,84.5,0.12K,-1.05%
"May 14, 2021",85.4,85,85,84.9,0.02K,-0.35%
"May 13, 2021",85.7,85.25,85.25,85.25,0.01K,-0.17%
"May 12, 2021",85.85,85.85,85.85,85.85,0.01K,1.24%
"May 11, 2021",84.8,84,84,84,0.01K,1.19%
"May 10, 2021",83.8,84.45,84.45,83.75,0.08K,1.58%
"May 07, 2021",82.5,81.3,81.3,81.3,0.18K,1.16%
"May 06, 2021",81.55,81.55,81.55,81.55,0.08K,1.87%
"May 05, 2021",80.05,78.6,79.25,78.6,0.15K,1.97%
"May 04, 2021",78.5,78.5,78.6,78.4,0.07K,-0.19%
"May 03, 2021",78.65,78.75,78.75,78.7,0.00K,9.39%
"Apr 30, 2021",71.9,71.9,71.9,71.9,-,0.00%
"Apr 29, 2021",71.9,71.9,71.9,71.9,-,0.21%
"Apr 28, 2021",71.75,71.75,71.75,71.75,-,-0.14%
"Apr 27, 2021",71.85,73.9,73.9,73.9,0.02K,0.21%
"Apr 26, 2021",71.7,71.7,71.7,71.7,-,-0.14%
"Apr 23, 2021",71.8,71.8,71.8,71.8,0.01K,0.00%
"Apr 22, 2021",71.8,72,72,72,0.01K,0.42%
"Apr 21, 2021",71.5,71.5,71.5,71.5,0.03K,0.00%
"Apr 20, 2021",71.5,71.5,71.5,71.5,-,0.00%
"Apr 19, 2021",71.5,71.5,71.5,71.5,0.01K,-0.14%
"Apr 16, 2021",71.6,71,71,71,0.04K,1.99%
"Apr 15, 2021",70.2,70,70,70,0.03K,1.52%
"Apr 14, 2021",69.15,69.15,69.15,69.15,0.06K,0.44%
"Apr 13, 2021",68.85,68.85,68.85,68.85,0.04K,0.73%
"Apr 12, 2021",68.35,68.35,68.35,68.35,0.05K,1.18%
"Apr 09, 2021",67.55,67.5,67.5,67.5,0.10K,0.52%
"Apr 08, 2021",67.2,67.5,67.5,67.5,0.07K,-2.33%
"Apr 07, 2021",68.8,68.8,68.8,68.8,0.07K,-2.13%
"Apr 06, 2021",70.3,70.3,70.3,70.3,0.05K,0.14%
"Apr 05, 2021",70.2,70.2,70.2,70.2,-,0.00%
"Apr 01, 2021",70.2,70.2,70.2,70.2,0.06K,0.21%
"Mar 31, 2021",70.05,69.95,70.1,69.75,0.17K,0.07%
"Mar 30, 2021",70,70.45,70.45,69.8,0.07K,-0.85%
"Mar 29, 2021",70.6,70.6,70.6,70.6,0.11K,3.07%
"Mar 26, 2021",68.5,68.5,68.5,68.5,-,0.00%
"Mar 25, 2021",68.5,68.5,68.5,68.5,-,0.00%
"Mar 24, 2021",68.5,68.5,68.5,68.5,-,0.00%
"Mar 23, 2021",68.5,68.5,68.5,68.5,-,0.00%
"Mar 22, 2021",68.5,68.5,68.5,68.5,0.01K,0.07%
"Mar 19, 2021",68.45,68.5,68.5,68.5,0.03K,0.51%
"Mar 18, 2021",68.1,68.1,68.1,68.1,0.07K,0.81%
"Mar 17, 2021",67.55,66.5,66.5,66.5,0.04K,1.89%
"Mar 16, 2021",66.3,66.4,66.5,66.4,0.00K,-0.08%
"Mar 15, 2021",66.35,66,66.35,66,0.04K,0.45%
"Mar 12, 2021",66.05,65.85,66,65.85,0.05K,0.38%
"Mar 11, 2021",65.8,65.8,65.8,65.8,0.02K,0.00%
"Mar 10, 2021",65.8,66,66.25,66,0.13K,-0.30%
"Mar 09, 2021",66,65.4,66,65.4,0.02K,0.76%
"Mar 08, 2021",65.5,65.5,65.5,65.5,0.03K,0.38%
"Mar 05, 2021",65.25,65.5,65.5,65.25,0.01K,0.08%
"Mar 04, 2021",65.2,66,66,65.7,0.06K,-0.76%
"Mar 03, 2021",65.7,65.9,66.15,65.9,0.14K,-0.68%
"Mar 02, 2021",66.15,65.7,66.3,65.7,0.09K,1.15%
"Mar 01, 2021",65.4,65.95,65.95,65.5,0.04K,-1.13%
"Feb 26, 2021",66.15,66.15,66.15,66.15,-,0.53%
"Feb 25, 2021",65.8,65.85,65.85,65.85,0.00K,0.15%
"Feb 24, 2021",65.7,65,65.7,65,0.00K,-0.30%
"Feb 23, 2021",65.9,65.9,65.9,65.9,-,-0.08%
"Feb 22, 2021",65.95,66,66,66,0.01K,0.00%
"Feb 19, 2021",65.95,66,66,66,0.00K,0.61%
"Feb 18, 2021",65.55,65.55,65.55,65.55,0.01K,0.31%
"Feb 17, 2021",65.35,65.25,65.35,65.25,0.00K,-0.38%
"Feb 16, 2021",65.6,65.25,65.5,65.2,0.03K,0.46%
"Feb 15, 2021",65.3,66.25,66.25,65.2,0.07K,-2.54%
"Feb 12, 2021",67,67.25,67.45,67.2,0.02K,-0.52%
"Feb 11, 2021",67.35,67.5,67.8,66.9,0.08K,-0.96%
"Feb 10, 2021",68,68.15,68.5,68,0.03K,-0.87%
"Feb 09, 2021",68.6,68.1,68.65,68.1,0.09K,0.51%
"Feb 08, 2021",68.25,67,68.25,67,0.21K,2.71%
"Feb 05, 2021",66.45,65.5,66.5,65.5,0.13K,2.23%
"Feb 04, 2021",65,64,64.9,64,0.12K,1.96%
"Feb 03, 2021",63.75,63.6,63.8,63.3,0.18K,-2.52%
"Feb 02, 2021",65.4,65.7,66.5,63.5,0.22K,-0.30%
"Feb 01, 2021",65.6,68,68,65.25,0.07K,-3.24%
"Jan 29, 2021",67.8,67.8,67.8,67.8,0.01K,0.00%
"Jan 28, 2021",67.8,67.6,67.8,67.6,0.03K,0.15%
"Jan 27, 2021",67.7,67.75,67.75,67.75,0.05K,0.07%
"Jan 26, 2021",67.65,67.45,67.6,67.45,0.07K,0.30%
"Jan 25, 2021",67.45,67.4,67.4,67.4,0.01K,-0.07%
"Jan 22, 2021",67.5,67.5,67.5,67.5,0.06K,-0.07%
"Jan 21, 2021",67.55,67.5,67.55,67.5,0.02K,0.07%
"Jan 20, 2021",67.5,67.6,67.6,67.4,0.09K,0.00%
"Jan 19, 2021",67.5,67.5,67.5,67.3,0.09K,0.37%
"Jan 18, 2021",67.25,68,68.1,67.9,0.11K,-1.97%
"Jan 15, 2021",68.6,68.9,68.9,68.6,0.06K,-1.86%
"Jan 14, 2021",69.9,69.5,69.95,69.4,0.06K,-0.36%
"Jan 13, 2021",70.15,69.5,70.1,69.5,0.12K,-0.50%
"Jan 12, 2021",70.5,69.1,70.5,68.95,0.29K,2.92%
"Jan 11, 2021",68.5,68.55,68.55,68.4,0.14K,0.00%
"Jan 08, 2021",68.5,67.75,68.5,67.35,0.37K,2.85%
"Jan 07, 2021",66.6,66.5,66.6,65.75,0.17K,3.66%
"Jan 06, 2021",64.25,65.75,65.75,64.2,0.15K,-1.00%
"Jan 05, 2021",64.9,68.5,68.75,65.9,0.23K,-6.35%
"Jan 04, 2021",69.3,69.75,70.25,69.75,0.13K,0.43%
"Dec 31, 2020",69,69,69,69,0.04K,-0.58%
"Dec 30, 2020",69.4,70.6,70.6,69.15,0.28K,-0.86%
"Dec 29, 2020",70,71,71,70.25,0.37K,-2.30%
"Dec 28, 2020",71.65,71.75,72,71.5,0.18K,8.40%
"Dec 24, 2020",66.1,66.1,66.1,66.1,-,0.08%
"Dec 23, 2020",66.05,66.05,66.05,66.05,-,-0.08%
"Dec 22, 2020",66.1,66.1,66.1,66.1,-,0.00%
"Dec 21, 2020",66.1,66.1,66.1,66.1,-,0.15%
"Dec 18, 2020",66,65.65,66,65.65,0.05K,0.53%
"Dec 17, 2020",65.65,65.65,65.65,65.65,-,0.08%
"Dec 16, 2020",65.6,65.6,65.6,65.6,-,-0.30%
"Dec 15, 2020",65.8,65.8,65.8,65.8,0.01K,0.61%
"Dec 14, 2020",65.4,65.45,65.45,65.4,0.03K,0.46%
"Dec 11, 2020",65.1,65,65,65,0.01K,1.72%
"Dec 10, 2020",64,63.6,64,63.5,0.14K,1.11%
"Dec 09, 2020",63.3,63.3,63.3,63.3,-,0.40%
"Dec 08, 2020",63.05,63,63,62.8,0.03K,0.16%
"Dec 07, 2020",62.95,63.5,63.5,63.5,0.01K,-0.40%
"Dec 04, 2020",63.2,62.15,63.4,62.15,0.18K,2.18%
"Dec 03, 2020",61.85,62.4,62.6,62.25,0.10K,-0.24%
"Dec 02, 2020",62,61.45,62.05,61.45,0.03K,1.22%
"Dec 01, 2020",61.25,60.95,61.7,60.9,0.11K,0.16%
"Nov 30, 2020",61.15,60.5,60.75,60.5,0.14K,14.09%
"Nov 27, 2020",53.6,53.6,53.6,53.6,-,0.09%
"Nov 26, 2020",53.55,53.55,53.55,53.55,-,0.00%
"Nov 25, 2020",53.55,53.55,53.55,53.55,-,0.66%
"Nov 24, 2020",53.2,53.2,53.2,53.2,-,0.47%
"Nov 23, 2020",52.95,53,53.15,53,0.00K,-0.09%
"Nov 20, 2020",53,52.7,52.9,52.7,0.08K,0.47%
"Nov 19, 2020",52.75,52.75,52.9,52.75,0.02K,-0.19%
"Nov 18, 2020",52.85,52.85,52.85,52.85,-,0.19%
"Nov 17, 2020",52.75,52.8,52.85,52.75,0.01K,-0.38%
"Nov 16, 2020",52.95,53,53,53,0.02K,0.47%
"Nov 13, 2020",52.7,52.5,52.75,52.5,0.07K,1.25%
